,FC,p value
a.IgM.CoV.2.S.RBD,-0.010440564,0.09229202
a.IgM.CoV.2.S.S2,-0.024106971,0.609846152
a.IgM.CoV.2.N.N,0.002010801,0.027429864
a.IgM.CoV.2.FP.FP,-0.009687686,0.165949834
a.IgM.non.CoV.2.S.WIV1,-0.013540773,0.138452188
a.IgM.non.CoV.2.S.SARS.CoV.1,0.041658561,0.922882164
a.IgM.non.CoV.2.S.MERS.S,-0.000302657,0.007148357
a.IgM.non.CoV.2.S.MERS.S1,-0.006335603,0.566096474
a.IgM.non.CoV.2.S.OC43.S,-0.008233442,0.400445164
a.IgM.non.CoV.2.S.OC43.S.1,-0.003242651,0.036247862
a.IgM.non.CoV.2.S.HKU1.S,-0.004314745,0.168006802
a.IgM.non.CoV.2.S.HKU1.S1,-0.00514001,0.569444626
a.IgM.non.CoV.2.S.229E.S,0.025739455,0.390761837
a.IgM.non.CoV.2.S.229E.S1,0.003424475,0.332705993
a.IgM.non.CoV.2.S.NL63,0.008575876,0.462160426
a.IgM.non.CoV.2.HA.HA,0.003006043,0.270780539
a.IgM.non.CoV.2.gE.gE,-0.003399212,0.117936138
a.IgG1.CoV.2.S.S,-0.04269497,0.349069694
a.IgG1.CoV.2.S.S1,-0.051372211,0.521037723
a.IgG1.CoV.2.S.RBD,-0.033256057,0.375331198
a.IgG1.CoV.2.S.S2,-0.025320361,0.374913563
a.IgG1.CoV.2.N.N,-0.02125995,0.170814859
a.IgG1.CoV.2.FP.FP,-0.024428246,0.236342708
a.IgG1.non.CoV.2.S.WIV1,-0.029175037,0.240857093
a.IgG1.non.CoV.2.S.SARS.CoV.1,-0.00857493,0.526318968
a.IgG1.non.CoV.2.S.MERS.S,-0.00298147,0.131911077
a.IgG1.non.CoV.2.S.MERS.S1,-0.005373656,0.488220716
a.IgG1.non.CoV.2.S.OC43.S,-1.37E-05,9.65E-05
a.IgG1.non.CoV.2.S.OC43.S.1,-0.012914339,0.085190099
a.IgG1.non.CoV.2.S.HKU1.S,-0.010757583,0.120818148
a.IgG1.non.CoV.2.S.HKU1.S1,0.007094866,0.072791306
a.IgG1.non.CoV.2.S.229E.S,-0.0011297,0.01021998
a.IgG1.non.CoV.2.S.229E.S1,-0.013095395,0.139257006
a.IgG1.non.CoV.2.S.NL63,-0.009580528,0.140513225
a.IgG1.non.CoV.2.HA.HA,0.029313807,0.616202348
a.IgG1.non.CoV.2.gE.gE,-0.039726799,0.333141337
a.IgG2.CoV.2.S.S,0.010226868,0.274589854
a.IgG2.CoV.2.S.S1,0.004185559,0.146425783
a.IgG2.CoV.2.S.RBD,0.009004707,0.622802007
a.IgG2.CoV.2.S.S2,0.004754534,0.433568441
a.IgG2.CoV.2.N.N,0.003710328,0.146535888
a.IgG2.CoV.2.FP.FP,0.00062611,0.016721746
a.IgG2.non.CoV.2.S.WIV1,0.018944043,0.539813454
a.IgG2.non.CoV.2.S.SARS.CoV.1,0.003362133,0.186961285
a.IgG2.non.CoV.2.S.MERS.S,0.00194939,0.188513609
a.IgG2.non.CoV.2.S.MERS.S1,-0.001860576,0.130590814
a.IgG2.non.CoV.2.S.OC43.S,-0.013440759,0.469121719
a.IgG2.non.CoV.2.S.OC43.S.1,-0.00703829,0.211808542
a.IgG2.non.CoV.2.S.HKU1.S,-0.003877897,0.222857837
a.IgG2.non.CoV.2.S.HKU1.S1,-0.005599871,0.381019587
a.IgG2.non.CoV.2.S.229E.S,0.03122502,0.497410273
a.IgG2.non.CoV.2.S.229E.S1,-0.001343881,0.030926985
a.IgG2.non.CoV.2.S.NL63,0.00733319,0.796164314
a.IgG2.non.CoV.2.HA.HA,-0.003407077,0.20330799
a.IgG2.non.CoV.2.gE.gE,-0.006929837,0.590024574
a.IgG3.CoV.2.S.S,0.02020962,0.236544083
a.IgG3.CoV.2.S.S1,-0.008655706,0.505896784
a.IgG3.CoV.2.S.RBD,0.000359518,0.022037393
a.IgG3.CoV.2.S.S2,0.012037065,0.206881922
a.IgG3.CoV.2.N.N,-0.031780176,1.089517763
a.IgG3.CoV.2.FP.FP,-0.050473653,0.736956967
a.IgG3.non.CoV.2.S.WIV1,0.02891746,0.34260553
a.IgG3.non.CoV.2.S.SARS.CoV.1,0.000948025,0.060610779
a.IgG3.non.CoV.2.S.MERS.S,0.011491059,0.274556372
a.IgG3.non.CoV.2.S.MERS.S1,0.001329515,0.102217978
a.IgG3.non.CoV.2.S.OC43.S,0.015476908,0.55454152
a.IgG3.non.CoV.2.S.OC43.S.1,0.039618793,0.590324101
a.IgG3.non.CoV.2.S.HKU1.S,0.020543496,0.816543081
a.IgG3.non.CoV.2.S.HKU1.S1,0.007613589,1.386508923
a.IgG3.non.CoV.2.S.229E.S,-0.001495723,0.116347095
a.IgG3.non.CoV.2.S.229E.S1,-0.000731857,0.073374898
a.IgG3.non.CoV.2.S.NL63,0.0005346,0.033164229
a.IgG3.non.CoV.2.HA.HA,-0.003444149,0.274273946
a.IgG3.non.CoV.2.gE.gE,-0.000991829,0.082701151
a.IgG4.CoV.2.S.S,0.002003337,0.14844687
a.IgG4.CoV.2.S.S1,-0.015759231,1.684923068
a.IgG4.CoV.2.S.RBD,-0.001274913,0.066690467
a.IgG4.CoV.2.S.S2,-0.005661779,0.570603224
a.IgG4.CoV.2.N.N,0.003571181,0.537265164
a.IgG4.CoV.2.FP.FP,-0.004492625,0.200168827
a.IgG4.non.CoV.2.S.WIV1,-0.00425863,0.24910945
a.IgG4.non.CoV.2.S.SARS.CoV.1,0.008773685,0.722081483
a.IgG4.non.CoV.2.S.MERS.S,-0.000998734,0.086609884
a.IgG4.non.CoV.2.S.MERS.S1,-0.003580736,0.566423589
a.IgG4.non.CoV.2.S.OC43.S,0.006319876,0.521720113
a.IgG4.non.CoV.2.S.OC43.S.1,-0.002794869,0.206259921
a.IgG4.non.CoV.2.S.HKU1.S,0.004256374,0.566132183
a.IgG4.non.CoV.2.S.HKU1.S1,0.001442323,0.176574322
a.IgG4.non.CoV.2.S.229E.S,-0.002949909,0.366722796
a.IgG4.non.CoV.2.S.229E.S1,-0.006252283,1.000195016
a.IgG4.non.CoV.2.S.NL63,-0.006338973,0.71742959
a.IgG4.non.CoV.2.HA.HA,0.003566164,0.24231259
a.IgG4.non.CoV.2.gE.gE,0.008728505,0.751648895
FcgR2AR.CoV.2.S.S,-0.116298997,0.980110494
FcgR2AR.CoV.2.S.S1,-0.057445105,0.4268519
FcgR2AR.CoV.2.S.RBD,-0.037209014,0.451411822
FcgR2AR.CoV.2.S.S2,0.013841146,0.120053459
FcgR2AR.CoV.2.N.N,-0.072728199,0.821095961
FcgR2AR.CoV.2.FP.FP,-0.005228489,0.057346522
FcgR2AR.non.CoV.2.S.WIV1,-0.100119572,0.726044902
FcgR2AR.non.CoV.2.S.SARS.CoV.1,-0.001569564,0.057687361
FcgR2AR.non.CoV.2.S.MERS.S,0.030132589,0.470915018
FcgR2AR.non.CoV.2.S.MERS.S1,0.003128086,0.226658875
FcgR2AR.non.CoV.2.S.OC43.S,0.035084294,0.317196604
FcgR2AR.non.CoV.2.S.OC43.S.1,0.003860082,0.022305309
FcgR2AR.non.CoV.2.S.HKU1.S,0.02112429,0.334381704
FcgR2AR.non.CoV.2.S.HKU1.S1,0.031744785,0.392242098
FcgR2AR.non.CoV.2.S.229E.S,0.026250786,0.196459358
FcgR2AR.non.CoV.2.S.229E.S1,-0.007764816,0.287610003
FcgR2AR.non.CoV.2.S.NL63,-0.004187902,0.258063073
FcgR2AR.non.CoV.2.HA.HA,0.004894392,0.326126309
FcgR2AR.non.CoV.2.gE.gE,-0.028205172,0.173137516
FcgR2B.CoV.2.S.S,-0.077444386,0.437417545
FcgR2B.CoV.2.S.S1,-0.03553631,0.456756483
FcgR2B.CoV.2.S.RBD,-0.016917627,0.436596892
FcgR2B.CoV.2.S.S2,0.018825568,0.321834937
FcgR2B.CoV.2.N.N,-0.057851499,0.460273077
FcgR2B.CoV.2.FP.FP,0.023073629,0.362114084
FcgR2B.non.CoV.2.S.WIV1,0.012709517,0.064946034
FcgR2B.non.CoV.2.S.SARS.CoV.1,-0.003174776,0.305684247
FcgR2B.non.CoV.2.S.MERS.S,0.008563074,0.265575687
FcgR2B.non.CoV.2.S.MERS.S1,0.001364442,0.112766001
FcgR2B.non.CoV.2.S.OC43.S,0.031009491,0.548465493
FcgR2B.non.CoV.2.S.OC43.S.1,0.047408856,0.284982924
FcgR2B.non.CoV.2.S.HKU1.S,0.01014302,0.643273312
FcgR2B.non.CoV.2.S.HKU1.S1,0.010653182,0.365441088
FcgR2B.non.CoV.2.S.229E.S,0.037659908,0.501134589
FcgR2B.non.CoV.2.S.229E.S1,-0.003473561,0.3753804
FcgR2B.non.CoV.2.S.NL63,-0.000800655,0.051339175
FcgR2B.non.CoV.2.HA.HA,0.006032493,0.404425531
FcgR2B.non.CoV.2.gE.gE,0.027282515,0.226514435
FcgR3AV.CoV.2.S.S,-0.091314937,0.686706136
FcgR3AV.CoV.2.S.S1,-0.071316298,0.656807974
FcgR3AV.CoV.2.S.RBD,-0.041809721,0.55555247
FcgR3AV.CoV.2.S.S2,0.014800433,0.12930688
FcgR3AV.CoV.2.N.N,-0.0487205,0.400361402
FcgR3AV.CoV.2.FP.FP,0.031053841,0.423233955
FcgR3AV.non.CoV.2.S.WIV1,-0.057569737,0.386653884
FcgR3AV.non.CoV.2.S.SARS.CoV.1,-0.002533431,0.302831571
FcgR3AV.non.CoV.2.S.MERS.S,0.032618326,0.516706495
FcgR3AV.non.CoV.2.S.MERS.S1,0.001171038,0.10606875
FcgR3AV.non.CoV.2.S.OC43.S,0.056322064,0.623708116
FcgR3AV.non.CoV.2.S.OC43.S.1,0.037724232,0.267947898
FcgR3AV.non.CoV.2.S.HKU1.S,0.029348707,0.5342625
FcgR3AV.non.CoV.2.S.HKU1.S1,0.041328453,0.624992102
FcgR3AV.non.CoV.2.S.229E.S,0.015517979,0.748179217
FcgR3AV.non.CoV.2.S.229E.S1,0.000381956,0.010581935
FcgR3AV.non.CoV.2.S.NL63,-0.00246425,0.145182671
FcgR3AV.non.CoV.2.HA.HA,0.003982653,0.171096676
FcgR3AV.non.CoV.2.gE.gE,0.004586802,0.023619392
FcgR3BNA2.CoV.2.S.S,-0.058273719,0.330151898
FcgR3BNA2.CoV.2.S.S1,-0.007009321,0.234936029
FcgR3BNA2.CoV.2.S.RBD,0.001773613,0.092166383
FcgR3BNA2.CoV.2.S.S2,0.030928818,0.655496522
FcgR3BNA2.CoV.2.N.N,-0.058485459,0.688127348
FcgR3BNA2.CoV.2.FP.FP,0.012696711,0.179845232
FcgR3BNA2.non.CoV.2.S.WIV1,0.053014148,0.371169316
FcgR3BNA2.non.CoV.2.S.SARS.CoV.1,-0.001895484,0.197174682
FcgR3BNA2.non.CoV.2.S.MERS.S,0.011655881,0.428535643
FcgR3BNA2.non.CoV.2.S.MERS.S1,2.77E-03,0.29454035
FcgR3BNA2.non.CoV.2.S.OC43.S,0.026091416,0.448534929
FcgR3BNA2.non.CoV.2.S.OC43.S.1,0.033347056,0.211430382
FcgR3BNA2.non.CoV.2.S.HKU1.S,0.002756477,0.138192435
FcgR3BNA2.non.CoV.2.S.HKU1.S1,0.013847908,1.789982558
FcgR3BNA2.non.CoV.2.S.229E.S,-0.00570677,0.578571107
FcgR3BNA2.non.CoV.2.S.229E.S1,-0.008729192,1.109424753
FcgR3BNA2.non.CoV.2.S.NL63,0.002787964,0.24258344
FcgR3BNA2.non.CoV.2.HA.HA,-0.005166377,0.455569279
FcgR3BNA2.non.CoV.2.gE.gE,0.028754696,0.238960141
FcaR.CoV.2.S.S,-0.014508132,0.208797838
FcaR.CoV.2.S.S1,0.005446663,0.047594594
FcaR.CoV.2.S.RBD,0.006298214,0.061620077
FcaR.CoV.2.S.S2,-0.025596943,0.298893739
FcaR.CoV.2.N.N,0.019334399,0.326163345
FcaR.CoV.2.FP.FP,0.030762437,0.854625263
FcaR.non.CoV.2.S.WIV1,-0.009183489,0.089274901
FcaR.non.CoV.2.S.SARS.CoV.1,0.033252427,0.586766308
FcaR.non.CoV.2.S.MERS.S,-0.011200328,0.269275753
FcaR.non.CoV.2.S.MERS.S1,-0.02135209,0.475794465
FcaR.non.CoV.2.S.OC43.S,-0.019328558,0.311551131
FcaR.non.CoV.2.S.OC43.S.1,-0.00646461,0.140687452
FcaR.non.CoV.2.S.HKU1.S,-0.03661201,0.575350108
FcaR.non.CoV.2.S.HKU1.S1,-0.026426432,0.367819626
FcaR.non.CoV.2.S.229E.S,-0.006557154,0.078368673
FcaR.non.CoV.2.S.229E.S1,0.014124574,0.142197106
FcaR.non.CoV.2.S.NL63,0.016698605,0.193965629
FcaR.non.CoV.2.HA.HA,0.015175331,0.400013545
FcaR.non.CoV.2.gE.gE,-0.035005535,0.573957207
Func.ADCP,-0.116823015,0.502131957
Func.ADNP,0.007651485,0.103770437
Func.ADCC,-0.026609823,0.663311104
Func.Complement.CoV-2 RBD,0.026652195,0.059355531
Func.Neut,-0.063342665,0.231506924
