,FC,p value
a.IgA2.CoV.2.FP.FP,0.012050997,0.204906804
a.IgA2.non.CoV.2.S.WIV1,0.071611761,2.176614763
a.IgA2.non.CoV.2.S.SARS.CoV.1,0.004082475,0.110276155
a.IgA2.non.CoV.2.S.MERS.S,0.006547561,0.220701488
a.IgA2.non.CoV.2.S.MERS.S1,-0.000128118,0.004639147
a.IgA2.non.CoV.2.S.OC43.S,-0.0042092,0.052936257
a.IgA2.non.CoV.2.S.OC43.S.1,0.040115727,0.780059823
a.IgA2.non.CoV.2.S.HKU1.S,-0.02664213,0.357687346
a.IgA2.non.CoV.2.S.HKU1.S1,-0.034156003,0.629914442
a.IgA2.non.CoV.2.S.229E.S,0.011285239,0.201587587
a.IgA2.non.CoV.2.S.229E.S1,-0.009027894,0.094180454
a.IgA2.non.CoV.2.S.NL63,-0.017242087,0.611016466
a.IgA2.non.CoV.2.HA.HA,-0.002929769,0.215162698
a.IgA2.non.CoV.2.gE.gE,-0.009826442,0.358177149
a.IgD.CoV.2.S.S,-0.000846765,0.079244651
a.IgD.CoV.2.S.S1,-0.01153401,1.365456209
a.IgD.CoV.2.S.RBD,0.000989704,0.064888319
a.IgD.CoV.2.S.S2,0.004459039,0.583400714
a.IgD.CoV.2.N.N,-0.000919383,0.031417861
a.IgD.CoV.2.FP.FP,0.010906661,1.159991103
a.IgD.non.CoV.2.S.WIV1,0.001091036,0.083459767
a.IgD.non.CoV.2.S.SARS.CoV.1,0.004694024,0.824127172
a.IgD.non.CoV.2.S.MERS.S,-0.000851586,0.113240254
a.IgD.non.CoV.2.S.MERS.S1,0.000299546,0.035885316
a.IgD.non.CoV.2.S.OC43.S,0.006080428,0.529021081
a.IgD.non.CoV.2.S.OC43.S.1,0.003137144,0.275881273
a.IgD.non.CoV.2.S.HKU1.S,-0.005159014,0.7162149
a.IgD.non.CoV.2.S.HKU1.S1,0.001489301,0.216343866
a.IgD.non.CoV.2.S.229E.S,0.002540772,0.294747188
a.IgD.non.CoV.2.S.229E.S1,-0.000987925,0.129115393
a.IgD.non.CoV.2.S.NL63,0.000234537,0.016359898
a.IgD.non.CoV.2.HA.HA,-0.000296128,0.028338495
a.IgD.non.CoV.2.gE.gE,0.002474139,0.237548641
a.IgM.CoV.2.S.S,0.183250522,5.852544163
a.IgM.CoV.2.S.S1,0.145452235,4.989076913
a.IgM.CoV.2.S.RBD,0.124024984,4.327192525
a.IgM.CoV.2.S.S2,0.047197649,3.632055356
a.IgM.CoV.2.N.N,0.000290629,0.004495585
a.IgM.CoV.2.FP.FP,-0.004120721,0.101542792
a.IgM.non.CoV.2.S.WIV1,0.105191526,4.059025885
a.IgM.non.CoV.2.S.SARS.CoV.1,0.018312887,0.606963033
a.IgM.non.CoV.2.S.MERS.S,0.004944692,0.190700603
a.IgM.non.CoV.2.S.MERS.S1,0.003963424,0.446362036
a.IgM.non.CoV.2.S.OC43.S,-0.000439391,0.01871472
a.IgM.non.CoV.2.S.OC43.S.1,0.029807971,0.923378802
a.IgM.non.CoV.2.S.HKU1.S,0.013281899,1.479400135
a.IgM.non.CoV.2.S.HKU1.S1,0.004241643,0.770604221
a.IgM.non.CoV.2.S.229E.S,0.025532362,0.786245953
a.IgM.non.CoV.2.S.229E.S1,0.004191967,0.578055802
a.IgM.non.CoV.2.S.NL63,-0.005162321,0.44869991
a.IgM.non.CoV.2.HA.HA,-0.004801304,0.829308944
a.IgM.non.CoV.2.gE.gE,0.000526381,0.025630774
a.IgG1.CoV.2.S.S,0.127847048,3.162678879
a.IgG1.CoV.2.S.S1,0.084080727,2.217122053
a.IgG1.CoV.2.S.RBD,0.062719688,2.010179362
a.IgG1.CoV.2.S.S2,0.049726646,2.298027071
a.IgG1.CoV.2.N.N,0.097964788,2.709669457
a.IgG1.CoV.2.FP.FP,0.076755748,2.411883759
a.IgG1.non.CoV.2.S.WIV1,0.092257428,2.438944483
a.IgG1.non.CoV.2.S.SARS.CoV.1,0.002292696,0.122865056
a.IgG1.non.CoV.2.S.MERS.S,0.004586358,0.425602563
a.IgG1.non.CoV.2.S.MERS.S1,0.003745443,0.571436832
a.IgG1.non.CoV.2.S.OC43.S,7.56E-02,1.88E+00
a.IgG1.non.CoV.2.S.OC43.S.1,0.110689042,2.513308687
a.IgG1.non.CoV.2.S.HKU1.S,0.042634068,1.334461932
a.IgG1.non.CoV.2.S.HKU1.S1,0.040767794,1.185649468
a.IgG1.non.CoV.2.S.229E.S,0.04685573,1.291246192
a.IgG1.non.CoV.2.S.229E.S1,0.045368672,1.326646036
a.IgG1.non.CoV.2.S.NL63,0.017054503,0.516660585
a.IgG1.non.CoV.2.HA.HA,0.014371701,0.506140155
a.IgG1.non.CoV.2.gE.gE,0.0667027,1.456472955
a.IgG2.CoV.2.S.S,0.044861216,4.349470829
a.IgG2.CoV.2.S.S1,0.012831645,1.246380912
a.IgG2.CoV.2.S.RBD,0.006524629,0.707536511
a.IgG2.CoV.2.S.S2,0.006473083,0.959604555
a.IgG2.CoV.2.N.N,0.010079787,0.990522479
a.IgG2.CoV.2.FP.FP,0.005898069,0.373314961
a.IgG2.non.CoV.2.S.WIV1,0.012346072,0.701425618
a.IgG2.non.CoV.2.S.SARS.CoV.1,0.005500017,0.55744199
a.IgG2.non.CoV.2.S.MERS.S,0.000290691,0.031412497
a.IgG2.non.CoV.2.S.MERS.S1,-0.004030777,0.560855517
a.IgG2.non.CoV.2.S.OC43.S,-0.001419738,0.051545211
a.IgG2.non.CoV.2.S.OC43.S.1,0.011763974,0.522140796
a.IgG2.non.CoV.2.S.HKU1.S,-0.009475214,0.357992568
a.IgG2.non.CoV.2.S.HKU1.S1,-0.008076473,0.534572599
a.IgG2.non.CoV.2.S.229E.S,-0.011944514,0.227209473
a.IgG2.non.CoV.2.S.229E.S1,0.000890606,0.02748417
a.IgG2.non.CoV.2.S.NL63,-0.003053913,0.298485347
a.IgG2.non.CoV.2.HA.HA,0.002436652,0.166173961
a.IgG2.non.CoV.2.gE.gE,-0.001676894,0.151386067
a.IgG3.CoV.2.S.S,0.048025241,1.642978292
a.IgG3.CoV.2.S.S1,0.014035013,2.025121686
a.IgG3.CoV.2.S.RBD,0.01172144,2.146401807
a.IgG3.CoV.2.S.S2,0.030253777,1.553095519
a.IgG3.CoV.2.N.N,0.029945777,2.443059123
a.IgG3.CoV.2.FP.FP,0.02845131,0.877487683
a.IgG3.non.CoV.2.S.WIV1,0.037779208,1.103550042
a.IgG3.non.CoV.2.S.SARS.CoV.1,0.00130815,0.141608043
a.IgG3.non.CoV.2.S.MERS.S,0.004130998,0.176312234
a.IgG3.non.CoV.2.S.MERS.S1,-0.004293146,0.601649772
a.IgG3.non.CoV.2.S.OC43.S,0.00157659,0.06792105
a.IgG3.non.CoV.2.S.OC43.S.1,0.040666724,1.385154107
a.IgG3.non.CoV.2.S.HKU1.S,0.013155635,0.996755501
a.IgG3.non.CoV.2.S.HKU1.S1,0.00250177,0.381663961
a.IgG3.non.CoV.2.S.229E.S,0.002735599,0.366694048
a.IgG3.non.CoV.2.S.229E.S1,-0.001259304,0.181146506
a.IgG3.non.CoV.2.S.NL63,0.001587629,0.148953326
a.IgG3.non.CoV.2.HA.HA,-0.003384557,0.469201258
a.IgG3.non.CoV.2.gE.gE,0.004753522,0.553292132
a.IgG4.CoV.2.S.S,0.009799097,1.36443275
a.IgG4.CoV.2.S.S1,0.00116515,0.082300485
a.IgG4.CoV.2.S.RBD,0.004602082,0.518624921
a.IgG4.CoV.2.S.S2,-0.000452622,0.038312181
a.IgG4.CoV.2.N.N,0.002914916,0.598491743
a.IgG4.CoV.2.FP.FP,0.00349292,0.177987147
a.IgG4.non.CoV.2.S.WIV1,0.002894853,0.248946962
a.IgG4.non.CoV.2.S.SARS.CoV.1,-0.006521314,0.274346249
a.IgG4.non.CoV.2.S.MERS.S,0.003222095,0.421861574
a.IgG4.non.CoV.2.S.MERS.S1,-0.004030665,0.818604206
a.IgG4.non.CoV.2.S.OC43.S,0.001147109,0.12588966
a.IgG4.non.CoV.2.S.OC43.S.1,-0.005392814,0.199284184
a.IgG4.non.CoV.2.S.HKU1.S,-0.002500894,0.401887662
a.IgG4.non.CoV.2.S.HKU1.S1,0.004054126,0.677909136
a.IgG4.non.CoV.2.S.229E.S,-0.002631674,0.329938412
a.IgG4.non.CoV.2.S.229E.S1,0.002511579,0.337636928
a.IgG4.non.CoV.2.S.NL63,0.006230199,0.796018173
a.IgG4.non.CoV.2.HA.HA,-0.002918375,0.196567864
a.IgG4.non.CoV.2.gE.gE,0.000509614,0.040350239
FcgR2AR.CoV.2.S.S,0.201833167,3.562475565
FcgR2AR.CoV.2.S.S1,0.085508687,1.67517124
FcgR2AR.CoV.2.S.RBD,0.048146507,1.567085265
FcgR2AR.CoV.2.S.S2,0.040701562,1.001300657
FcgR2AR.CoV.2.N.N,0.198566226,5.221412454
FcgR2AR.CoV.2.FP.FP,0.069811389,2.926524847
FcgR2AR.non.CoV.2.S.WIV1,0.12786085,2.070384547
FcgR2AR.non.CoV.2.S.SARS.CoV.1,0.003281177,0.204939383
FcgR2AR.non.CoV.2.S.MERS.S,0.011940738,0.308171223
FcgR2AR.non.CoV.2.S.MERS.S1,0.005132817,0.638932002
FcgR2AR.non.CoV.2.S.OC43.S,0.013449917,0.142885755
FcgR2AR.non.CoV.2.S.OC43.S.1,0.107749821,2.006432573
FcgR2AR.non.CoV.2.S.HKU1.S,-0.003532185,0.06868835
FcgR2AR.non.CoV.2.S.HKU1.S1,0.002577206,0.04378347
FcgR2AR.non.CoV.2.S.229E.S,-0.059117848,0.897958325
FcgR2AR.non.CoV.2.S.229E.S1,-0.042910077,0.713159635
FcgR2AR.non.CoV.2.S.NL63,-0.009337531,1.285473475
FcgR2AR.non.CoV.2.HA.HA,0.004622403,0.440916659
FcgR2AR.non.CoV.2.gE.gE,0.084703207,1.549689688
FcgR2B.CoV.2.S.S,0.137512912,1.961865191
FcgR2B.CoV.2.S.S1,0.041712463,1.412793465
FcgR2B.CoV.2.S.RBD,0.024915958,1.817090679
FcgR2B.CoV.2.S.S2,0.017269281,0.660227648
FcgR2B.CoV.2.N.N,0.139079176,3.091086427
FcgR2B.CoV.2.FP.FP,0.037228425,1.403557085
FcgR2B.non.CoV.2.S.WIV1,0.060261277,0.880903021
FcgR2B.non.CoV.2.S.SARS.CoV.1,0.004148435,0.700542652
FcgR2B.non.CoV.2.S.MERS.S,-0.002543255,0.12546431
FcgR2B.non.CoV.2.S.MERS.S1,0.002482299,0.328123842
FcgR2B.non.CoV.2.S.OC43.S,0.011449825,0.293672367
FcgR2B.non.CoV.2.S.OC43.S.1,0.112369968,1.876291645
FcgR2B.non.CoV.2.S.HKU1.S,0.001415676,0.094370974
FcgR2B.non.CoV.2.S.HKU1.S1,0.010905889,0.815337606
FcgR2B.non.CoV.2.S.229E.S,-0.017834033,0.271561413
FcgR2B.non.CoV.2.S.229E.S1,-0.020207971,0.43025284
FcgR2B.non.CoV.2.S.NL63,8.37804E-05,0.006720229
FcgR2B.non.CoV.2.HA.HA,0.0004276,0.031415406
FcgR2B.non.CoV.2.gE.gE,0.051312532,1.139372088
FcgR3AV.CoV.2.S.S,0.190592589,3.423120557
FcgR3AV.CoV.2.S.S1,0.085080684,1.914406586
FcgR3AV.CoV.2.S.RBD,0.038683052,1.279676616
FcgR3AV.CoV.2.S.S2,0.041468615,1.017709431
FcgR3AV.CoV.2.N.N,0.173438687,4.159178356
FcgR3AV.CoV.2.FP.FP,0.054428287,1.947213319
FcgR3AV.non.CoV.2.S.WIV1,0.113996882,2.049225155
FcgR3AV.non.CoV.2.S.SARS.CoV.1,0.000772151,0.084257374
FcgR3AV.non.CoV.2.S.MERS.S,0.015238894,0.443313351
FcgR3AV.non.CoV.2.S.MERS.S1,-0.002157909,0.208894897
FcgR3AV.non.CoV.2.S.OC43.S,-0.009591729,0.108677605
FcgR3AV.non.CoV.2.S.OC43.S.1,0.105719652,1.967454838
FcgR3AV.non.CoV.2.S.HKU1.S,-0.003095968,0.055231011
FcgR3AV.non.CoV.2.S.HKU1.S1,-0.000393641,0.006697501
FcgR3AV.non.CoV.2.S.229E.S,-0.043652908,0.881448627
FcgR3AV.non.CoV.2.S.229E.S1,-0.049624538,0.964404007
FcgR3AV.non.CoV.2.S.NL63,-0.013199855,1.290067998
FcgR3AV.non.CoV.2.HA.HA,-2.90673E-05,0.00095628
FcgR3AV.non.CoV.2.gE.gE,0.06328687,0.938074038
FcgR3BNA2.CoV.2.S.S,0.125749243,1.934940317
FcgR3BNA2.CoV.2.S.S1,0.010975546,0.933907716
FcgR3BNA2.CoV.2.S.RBD,0.004955107,0.502610683
FcgR3BNA2.CoV.2.S.S2,0.011292903,0.401518593
FcgR3BNA2.CoV.2.N.N,0.094973513,2.858194255
FcgR3BNA2.CoV.2.FP.FP,0.03126235,1.148498228
FcgR3BNA2.non.CoV.2.S.WIV1,0.039206989,0.56399143
FcgR3BNA2.non.CoV.2.S.SARS.CoV.1,0.002878989,0.451351699
FcgR3BNA2.non.CoV.2.S.MERS.S,0.009861223,0.779446888
FcgR3BNA2.non.CoV.2.S.MERS.S1,-1.10E-03,0.131871627
FcgR3BNA2.non.CoV.2.S.OC43.S,0.007549154,0.192301845
FcgR3BNA2.non.CoV.2.S.OC43.S.1,0.112716481,2.1830083
FcgR3BNA2.non.CoV.2.S.HKU1.S,-0.00472395,0.518693973
FcgR3BNA2.non.CoV.2.S.HKU1.S1,0.004465388,0.599281147
FcgR3BNA2.non.CoV.2.S.229E.S,9.80418E-05,0.010718493
FcgR3BNA2.non.CoV.2.S.229E.S1,-0.011338339,0.746863297
FcgR3BNA2.non.CoV.2.S.NL63,-0.000232442,0.020014494
FcgR3BNA2.non.CoV.2.HA.HA,-0.007396924,1.047123642
FcgR3BNA2.non.CoV.2.gE.gE,0.054610041,1.22368568
FcaR.CoV.2.S.S,0.168926124,8.461174029
FcaR.CoV.2.S.S1,0.152194421,5.295155348
FcaR.CoV.2.S.RBD,0.092729998,3.168481544
FcaR.CoV.2.S.S2,0.096674158,3.441248799
FcaR.CoV.2.N.N,0.048503377,1.888160097
FcaR.CoV.2.FP.FP,0.017930488,0.616256996
FcaR.non.CoV.2.S.WIV1,0.079273953,2.399805272
FcaR.non.CoV.2.S.SARS.CoV.1,0.014443817,0.295613183
FcaR.non.CoV.2.S.MERS.S,0.00333315,0.086838792
FcaR.non.CoV.2.S.MERS.S1,-0.003096646,0.061033471
FcaR.non.CoV.2.S.OC43.S,0.004103768,0.06825295
FcaR.non.CoV.2.S.OC43.S.1,0.043106085,1.229747612
FcaR.non.CoV.2.S.HKU1.S,-0.006796332,0.095110795
FcaR.non.CoV.2.S.HKU1.S1,-0.011911127,0.161417187
FcaR.non.CoV.2.S.229E.S,-0.008705879,0.160298191
FcaR.non.CoV.2.S.229E.S1,-0.006199882,0.079719404
FcaR.non.CoV.2.S.NL63,-0.033348785,0.6122813
FcaR.non.CoV.2.HA.HA,-0.020570934,0.563769607
FcaR.non.CoV.2.gE.gE,-0.042996724,0.864093453
Func.ADCP,0.228107208,2.44392887
Func.ADNP,-0.022783508,0.371054654
Func.ADCC,-0.070175658,1.549060961
Func.Complement.CoV-2 RBD,0.039849049,0.188839054
Func.Neut,0.212520525,2.130107967
