,FC,p value
a.IgA1.CoV.2.S.RBD,-0.013266947,0.145033458
a.IgA1.CoV.2.S.S2,0.011132857,0.125005964
a.IgA1.CoV.2.N.N,-0.005279712,0.068165749
a.IgA1.CoV.2.FP.FP,-0.020255515,0.304408919
a.IgA1.non.CoV.2.S.WIV1,0.019565955,0.204885587
a.IgA1.non.CoV.2.S.SARS.CoV.1,0.044465992,0.934696754
a.IgA1.non.CoV.2.S.MERS.S,-0.010701943,0.277093546
a.IgA1.non.CoV.2.S.MERS.S1,0.012491247,0.311130262
a.IgA1.non.CoV.2.S.OC43.S,-0.024102195,0.378660415
a.IgA1.non.CoV.2.S.OC43.S.1,-0.020959693,0.499373599
a.IgA1.non.CoV.2.S.HKU1.S,-0.059603224,1.272679709
a.IgA1.non.CoV.2.S.HKU1.S1,-0.065694401,1.655690877
a.IgA1.non.CoV.2.S.229E.S,-0.067392757,1.271900372
a.IgA1.non.CoV.2.S.229E.S1,-0.09406131,2.140599113
a.IgA1.non.CoV.2.S.NL63,-0.065414949,1.584351573
a.IgA1.non.CoV.2.HA.HA,0.005229501,0.136875898
a.IgA1.non.CoV.2.gE.gE,0.025573358,0.482378009
a.IgA2.CoV.2.S.S,0.009185574,0.077908514
a.IgA2.CoV.2.S.S1,-0.011297063,0.100146666
a.IgA2.CoV.2.S.RBD,-0.010102694,0.121181019
a.IgA2.CoV.2.S.S2,0.011131677,0.289485326
a.IgA2.CoV.2.N.N,-0.001070553,0.01021691
a.IgA2.CoV.2.FP.FP,-0.034183885,0.473231828
a.IgA2.non.CoV.2.S.WIV1,0.030594492,0.309680395
a.IgA2.non.CoV.2.S.SARS.CoV.1,0.024140251,0.662424654
a.IgA2.non.CoV.2.S.MERS.S,-0.005179406,0.162731833
a.IgA2.non.CoV.2.S.MERS.S1,-2.98E-03,0.112038799
a.IgA2.non.CoV.2.S.OC43.S,-0.004559579,0.041997995
a.IgA2.non.CoV.2.S.OC43.S.1,-0.023915344,0.33575445
a.IgA2.non.CoV.2.S.HKU1.S,-0.022569438,0.367547925
a.IgA2.non.CoV.2.S.HKU1.S1,-0.034489823,1.117434566
a.IgA2.non.CoV.2.S.229E.S,-0.015486747,0.217800479
a.IgA2.non.CoV.2.S.229E.S1,-0.118339983,1.963365016
a.IgA2.non.CoV.2.S.NL63,-0.036433744,1.506661245
a.IgA2.non.CoV.2.HA.HA,-0.003761385,0.206933487
a.IgA2.non.CoV.2.gE.gE,0.007112579,0.219965327
a.IgD.CoV.2.S.S,0.003064387,0.238458993
a.IgD.CoV.2.S.S1,-8.07E-04,0.037325959
a.IgD.CoV.2.S.RBD,-0.00210305,0.124200787
a.IgD.CoV.2.S.S2,-0.004016177,0.526051845
a.IgD.CoV.2.N.N,-0.008952539,0.24677332
a.IgD.CoV.2.FP.FP,0.003001498,0.162629905
a.IgD.non.CoV.2.S.WIV1,-1.30E-03,0.065374596
a.IgD.non.CoV.2.S.SARS.CoV.1,0.001034417,0.086481933
a.IgD.non.CoV.2.S.MERS.S,-0.000495305,0.045405868
a.IgD.non.CoV.2.S.MERS.S1,-0.006352483,0.996544631
a.IgD.non.CoV.2.S.OC43.S,-0.008618896,0.393870968
a.IgD.non.CoV.2.S.OC43.S.1,0.007635212,0.47141394
a.IgD.non.CoV.2.S.HKU1.S,0.002948963,0.238484902
a.IgD.non.CoV.2.S.HKU1.S1,-0.000403277,0.029318907
a.IgD.non.CoV.2.S.229E.S,0.00413056,0.261017297
a.IgD.non.CoV.2.S.229E.S1,0.00497038,0.800330794
a.IgD.non.CoV.2.S.NL63,-0.01119813,1.451783699
a.IgD.non.CoV.2.HA.HA,-0.00742328,0.626124626
a.IgD.non.CoV.2.gE.gE,-0.004306805,0.360759442
a.IgM.CoV.2.S.S,-0.001310898,0.010420659
a.IgM.CoV.2.S.S1,-0.037067971,0.430631613
a.IgM.CoV.2.S.RBD,-0.040987092,0.49987065
a.IgM.CoV.2.S.S2,0.003949823,0.074020604
a.IgM.CoV.2.N.N,-0.001980928,0.027677345
a.IgM.CoV.2.FP.FP,-0.019135706,0.424336213
a.IgM.non.CoV.2.S.WIV1,0.011341703,0.113771547
a.IgM.non.CoV.2.S.SARS.CoV.1,0.057257228,1.300608661
a.IgM.non.CoV.2.S.MERS.S,-0.004735583,0.128823859
a.IgM.non.CoV.2.S.MERS.S1,-0.005392123,0.452387377
a.IgM.non.CoV.2.S.OC43.S,0.009392573,0.487720476
a.IgM.non.CoV.2.S.OC43.S.1,0.053023418,1.03617186
a.IgM.non.CoV.2.S.HKU1.S,-0.0057266,0.242787754
a.IgM.non.CoV.2.S.HKU1.S1,-0.001473602,0.130668303
a.IgM.non.CoV.2.S.229E.S,0.000198831,0.002133944
a.IgM.non.CoV.2.S.229E.S1,0.004457215,0.452354991
a.IgM.non.CoV.2.S.NL63,0.000626449,0.023988447
a.IgM.non.CoV.2.HA.HA,-0.000446679,0.033221552
a.IgM.non.CoV.2.gE.gE,0.011162828,0.494269719
a.IgG1.CoV.2.S.S,0.117111986,1.603155555
a.IgG1.CoV.2.S.S1,0.103437884,1.503164523
a.IgG1.CoV.2.S.RBD,0.085218392,1.447751241
a.IgG1.CoV.2.S.S2,0.05946548,1.336705888
a.IgG1.CoV.2.N.N,0.116276091,1.806574311
a.IgG1.CoV.2.FP.FP,0.083697153,1.212549507
a.IgG1.non.CoV.2.S.WIV1,0.063119723,0.682652977
a.IgG1.non.CoV.2.S.SARS.CoV.1,0.016932341,1.380771202
a.IgG1.non.CoV.2.S.MERS.S,0.01346525,1.023533961
a.IgG1.non.CoV.2.S.MERS.S1,0.002687315,0.20188067
a.IgG1.non.CoV.2.S.OC43.S,8.80E-02,1.23E+00
a.IgG1.non.CoV.2.S.OC43.S.1,0.100282455,1.178475638
a.IgG1.non.CoV.2.S.HKU1.S,0.046278008,0.76360205
a.IgG1.non.CoV.2.S.HKU1.S1,0.050749763,0.748863659
a.IgG1.non.CoV.2.S.229E.S,0.062410354,1.039294821
a.IgG1.non.CoV.2.S.229E.S1,0.065603559,1.175936569
a.IgG1.non.CoV.2.S.NL63,0.057252277,1.475361104
a.IgG1.non.CoV.2.HA.HA,0.047635288,1.078828499
a.IgG1.non.CoV.2.gE.gE,0.11628662,1.441770118
a.IgG2.CoV.2.S.S,0.004271375,0.099896521
a.IgG2.CoV.2.S.S1,-0.013989997,0.700820593
a.IgG2.CoV.2.S.RBD,-0.010812662,0.819707006
a.IgG2.CoV.2.S.S2,0.004174635,0.346443523
a.IgG2.CoV.2.N.N,-0.002467068,0.095124526
a.IgG2.CoV.2.FP.FP,-0.002078958,0.057196431
a.IgG2.non.CoV.2.S.WIV1,0.010800872,0.235120115
a.IgG2.non.CoV.2.S.SARS.CoV.1,-0.004989212,0.300627993
a.IgG2.non.CoV.2.S.MERS.S,-0.003875844,0.423307111
a.IgG2.non.CoV.2.S.MERS.S1,-0.008065608,0.829179821
a.IgG2.non.CoV.2.S.OC43.S,-0.0015816,0.041813826
a.IgG2.non.CoV.2.S.OC43.S.1,-0.017122552,0.67786254
a.IgG2.non.CoV.2.S.HKU1.S,-0.003513854,0.196303493
a.IgG2.non.CoV.2.S.HKU1.S1,-0.009974181,0.848244703
a.IgG2.non.CoV.2.S.229E.S,-0.039858573,0.703269539
a.IgG2.non.CoV.2.S.229E.S1,-0.034119289,1.715190652
a.IgG2.non.CoV.2.S.NL63,-0.009782269,1.231711491
a.IgG2.non.CoV.2.HA.HA,-0.002962194,0.166591107
a.IgG2.non.CoV.2.gE.gE,-0.000889543,0.049717857
a.IgG3.CoV.2.S.S,-0.003113769,0.030564374
a.IgG3.CoV.2.S.S1,0.010614541,0.62517159
a.IgG3.CoV.2.S.RBD,0.011700191,1.48911632
a.IgG3.CoV.2.S.S2,0.000977238,0.014125694
a.IgG3.CoV.2.N.N,0.003636012,0.075958509
a.IgG3.CoV.2.FP.FP,0.045985046,0.657494662
a.IgG3.non.CoV.2.S.WIV1,-0.017702601,0.189421676
a.IgG3.non.CoV.2.S.SARS.CoV.1,0.006897418,0.620431367
a.IgG3.non.CoV.2.S.MERS.S,-0.018960333,0.520520868
a.IgG3.non.CoV.2.S.MERS.S1,-0.000672259,0.048138004
a.IgG3.non.CoV.2.S.OC43.S,-0.009004633,0.275597275
a.IgG3.non.CoV.2.S.OC43.S.1,-0.009365151,0.100507334
a.IgG3.non.CoV.2.S.HKU1.S,-0.014520968,0.505273314
a.IgG3.non.CoV.2.S.HKU1.S1,-0.000620499,0.059413126
a.IgG3.non.CoV.2.S.229E.S,0.008578942,1.127745369
a.IgG3.non.CoV.2.S.229E.S1,0.002819731,0.344163842
a.IgG3.non.CoV.2.S.NL63,0.00800958,0.796880724
a.IgG3.non.CoV.2.HA.HA,0.006588456,0.675895217
a.IgG3.non.CoV.2.gE.gE,-0.009552334,1.600232529
a.IgG4.CoV.2.S.S,-0.005692099,0.534367093
a.IgG4.CoV.2.S.S1,-0.007391894,0.497594566
a.IgG4.CoV.2.S.RBD,0.00086455,0.044073638
a.IgG4.CoV.2.S.S2,-0.007672892,0.873102717
a.IgG4.CoV.2.N.N,-0.001591928,0.189424273
a.IgG4.CoV.2.FP.FP,0.005010646,0.232168208
a.IgG4.non.CoV.2.S.WIV1,-0.00584538,0.345359255
a.IgG4.non.CoV.2.S.SARS.CoV.1,0.009506509,0.771224389
a.IgG4.non.CoV.2.S.MERS.S,-0.000519586,0.041258218
a.IgG4.non.CoV.2.S.MERS.S1,0.002348606,0.333115978
a.IgG4.non.CoV.2.S.OC43.S,-0.00498773,0.404326685
a.IgG4.non.CoV.2.S.OC43.S.1,0.013952193,1.890023914
a.IgG4.non.CoV.2.S.HKU1.S,0.001710517,0.171610249
a.IgG4.non.CoV.2.S.HKU1.S1,0.00267104,0.363319966
a.IgG4.non.CoV.2.S.229E.S,-0.004263864,0.605797867
a.IgG4.non.CoV.2.S.229E.S1,-0.002627729,0.292634249
a.IgG4.non.CoV.2.S.NL63,-0.000884461,0.066847572
a.IgG4.non.CoV.2.HA.HA,-0.011357355,1.187089516
a.IgG4.non.CoV.2.gE.gE,-0.006897669,0.563248464
FcgR2AR.CoV.2.S.S,0.028768438,0.154773776
FcgR2AR.CoV.2.S.S1,0.099419733,0.863983296
FcgR2AR.CoV.2.S.RBD,0.053766679,0.730028059
FcgR2AR.CoV.2.S.S2,-0.025414162,0.24272904
FcgR2AR.CoV.2.N.N,0.021188791,0.161964498
FcgR2AR.CoV.2.FP.FP,0.019845946,0.263554416
FcgR2AR.non.CoV.2.S.WIV1,0.00350002,0.015918713
FcgR2AR.non.CoV.2.S.SARS.CoV.1,-0.002244091,0.083775679
FcgR2AR.non.CoV.2.S.MERS.S,-0.025831678,0.385622885
FcgR2AR.non.CoV.2.S.MERS.S1,-0.009239023,1.018338698
FcgR2AR.non.CoV.2.S.OC43.S,-0.017437262,0.137268689
FcgR2AR.non.CoV.2.S.OC43.S.1,0.035154755,0.245088227
FcgR2AR.non.CoV.2.S.HKU1.S,-0.024180855,0.397725847
FcgR2AR.non.CoV.2.S.HKU1.S1,0.03669826,0.412348506
FcgR2AR.non.CoV.2.S.229E.S,-0.017805194,0.125733515
FcgR2AR.non.CoV.2.S.229E.S1,0.005363531,0.191870338
FcgR2AR.non.CoV.2.S.NL63,0.003322566,0.186523379
FcgR2AR.non.CoV.2.HA.HA,-0.003936227,0.251956708
FcgR2AR.non.CoV.2.gE.gE,0.016225297,0.093642938
FcgR2B.CoV.2.S.S,0.026755562,0.119537087
FcgR2B.CoV.2.S.S1,0.059846142,0.901452479
FcgR2B.CoV.2.S.RBD,0.025858562,0.794295209
FcgR2B.CoV.2.S.S2,-0.026588045,0.501949206
FcgR2B.CoV.2.N.N,-0.005594578,0.032703544
FcgR2B.CoV.2.FP.FP,-0.001040339,0.012167113
FcgR2B.non.CoV.2.S.WIV1,-0.03623189,0.209189105
FcgR2B.non.CoV.2.S.SARS.CoV.1,2.52E-05,0.001900846
FcgR2B.non.CoV.2.S.MERS.S,-0.00046579,0.011618344
FcgR2B.non.CoV.2.S.MERS.S1,0.003746618,0.386083526
FcgR2B.non.CoV.2.S.OC43.S,-0.022946945,0.368907367
FcgR2B.non.CoV.2.S.OC43.S.1,0.012132953,0.060496237
FcgR2B.non.CoV.2.S.HKU1.S,0.002233546,0.10153241
FcgR2B.non.CoV.2.S.HKU1.S1,0.015152419,0.509311333
FcgR2B.non.CoV.2.S.229E.S,-0.030041548,0.373077376
FcgR2B.non.CoV.2.S.229E.S1,-0.003523,0.38357422
FcgR2B.non.CoV.2.S.NL63,-0.002729091,0.199797344
FcgR2B.non.CoV.2.HA.HA,-0.001922438,0.100322985
FcgR2B.non.CoV.2.gE.gE,-0.026267104,0.215917999
FcgR3AV.CoV.2.S.S,-0.000661025,0.003088065
FcgR3AV.CoV.2.S.S1,0.078469001,0.714232583
FcgR3AV.CoV.2.S.RBD,0.062378541,0.964637916
FcgR3AV.CoV.2.S.S2,-0.031559526,0.315277135
FcgR3AV.CoV.2.N.N,-0.002653863,0.016129998
FcgR3AV.CoV.2.FP.FP,-0.016691021,0.199858692
FcgR3AV.non.CoV.2.S.WIV1,-0.040973212,0.252134929
FcgR3AV.non.CoV.2.S.SARS.CoV.1,-0.005166445,0.804203711
FcgR3AV.non.CoV.2.S.MERS.S,-0.029408816,0.450535027
FcgR3AV.non.CoV.2.S.MERS.S1,-0.005605218,0.73963231
FcgR3AV.non.CoV.2.S.OC43.S,-0.033949489,0.315352631
FcgR3AV.non.CoV.2.S.OC43.S.1,0.001231786,0.006899709
FcgR3AV.non.CoV.2.S.HKU1.S,-0.016355573,0.25243447
FcgR3AV.non.CoV.2.S.HKU1.S1,0.027876074,0.32737019
FcgR3AV.non.CoV.2.S.229E.S,-0.021335903,1.200192752
FcgR3AV.non.CoV.2.S.229E.S1,-0.018173437,0.910121933
FcgR3AV.non.CoV.2.S.NL63,-0.003807349,0.236752691
FcgR3AV.non.CoV.2.HA.HA,-0.00324999,0.132600661
FcgR3AV.non.CoV.2.gE.gE,-0.0026563,0.013567428
FcgR3BNA2.CoV.2.S.S,0.042673172,0.222444537
FcgR3BNA2.CoV.2.S.S1,0.018369077,0.81913116
FcgR3BNA2.CoV.2.S.RBD,0.005467894,0.326979237
FcgR3BNA2.CoV.2.S.S2,-0.02123499,0.397145845
FcgR3BNA2.CoV.2.N.N,-0.00914538,0.073533298
FcgR3BNA2.CoV.2.FP.FP,-0.010503593,0.144062218
FcgR3BNA2.non.CoV.2.S.WIV1,-0.05696551,0.406830421
FcgR3BNA2.non.CoV.2.S.SARS.CoV.1,-0.004897807,0.665655411
FcgR3BNA2.non.CoV.2.S.MERS.S,-0.015055474,0.604651787
FcgR3BNA2.non.CoV.2.S.MERS.S1,8.15E-03,1.206621919
FcgR3BNA2.non.CoV.2.S.OC43.S,-0.020228058,0.323954824
FcgR3BNA2.non.CoV.2.S.OC43.S.1,0.020067097,0.117374622
FcgR3BNA2.non.CoV.2.S.HKU1.S,-0.009533985,0.647905182
FcgR3BNA2.non.CoV.2.S.HKU1.S1,0.007010806,0.56655692
FcgR3BNA2.non.CoV.2.S.229E.S,-0.000556021,0.038441399
FcgR3BNA2.non.CoV.2.S.229E.S1,-0.003052497,0.259172263
FcgR3BNA2.non.CoV.2.S.NL63,0.001898914,0.159961149
FcgR3BNA2.non.CoV.2.HA.HA,-0.00327369,0.248493159
FcgR3BNA2.non.CoV.2.gE.gE,-0.022277128,0.176935862
FcaR.CoV.2.S.S,0.00017432,0.00206056
FcaR.CoV.2.S.S1,-0.000224116,0.001876423
FcaR.CoV.2.S.RBD,-0.006057045,0.060240879
FcaR.CoV.2.S.S2,0.015233677,0.157315046
FcaR.CoV.2.N.N,-0.0029268,0.038667157
FcaR.CoV.2.FP.FP,-0.008944863,0.171204749
FcaR.non.CoV.2.S.WIV1,0.004255031,0.038363718
FcaR.non.CoV.2.S.SARS.CoV.1,0.046045166,0.853429072
FcaR.non.CoV.2.S.MERS.S,0.008849764,0.190537927
FcaR.non.CoV.2.S.MERS.S1,-0.030426718,0.710159624
FcaR.non.CoV.2.S.OC43.S,-0.028658531,0.482942146
FcaR.non.CoV.2.S.OC43.S.1,-0.019654103,0.540372673
FcaR.non.CoV.2.S.HKU1.S,-0.059342841,1.07059215
FcaR.non.CoV.2.S.HKU1.S1,-0.066958804,1.408674544
FcaR.non.CoV.2.S.229E.S,-0.061295782,1.344285983
FcaR.non.CoV.2.S.229E.S1,-0.092947417,1.927405314
FcaR.non.CoV.2.S.NL63,-0.069258481,1.293003843
FcaR.non.CoV.2.HA.HA,-0.010531445,0.244014974
FcaR.non.CoV.2.gE.gE,0.022746803,0.314884785
Func.ADCP,0.202059546,1.110588564
Func.ADNP,0.002618975,0.032602794
Func.ADCC,-0.012913953,0.243513655
Func.Complement.CoV-2 RBD,-0.096835654,0.252083435
Func.Neut,-0.043298882,0.148324181
