,FC,p value
a.IgM.non.CoV.2.HA.HA,-0.034892638,1.285796994
a.IgM.non.CoV.2.gE.gE,-0.008253914,0.137428293
a.IgG1.CoV.2.S.S,0.254188733,6.420177625
a.IgG1.CoV.2.S.S1,0.199172883,4.409513293
a.IgG1.CoV.2.S.RBD,0.162442623,3.701536302
a.IgG1.CoV.2.S.S2,0.135327212,3.825854297
a.IgG1.CoV.2.N.N,0.226171406,7.679085253
a.IgG1.CoV.2.FP.FP,0.173063912,4.540119159
a.IgG1.non.CoV.2.S.WIV1,0.204710171,5.253335026
a.IgG1.non.CoV.2.S.SARS.CoV.1,0.057364827,2.284134213
a.IgG1.non.CoV.2.S.MERS.S,0.02723645,2.192143882
a.IgG1.non.CoV.2.S.MERS.S1,0.021863397,2.2573573
a.IgG1.non.CoV.2.S.OC43.S,9.43E-02,1.58E+00
a.IgG1.non.CoV.2.S.OC43.S.1,0.15837604,5.089862887
a.IgG1.non.CoV.2.S.HKU1.S,0.106122351,2.276112791
a.IgG1.non.CoV.2.S.HKU1.S1,0.079290997,1.562744395
a.IgG1.non.CoV.2.S.229E.S,0.079634254,1.9547303
a.IgG1.non.CoV.2.S.229E.S1,0.093878869,1.8233542
a.IgG1.non.CoV.2.S.NL63,0.063938942,1.195840926
a.IgG1.non.CoV.2.HA.HA,0.049356938,0.835736934
a.IgG1.non.CoV.2.gE.gE,0.123347218,2.150013415
a.IgG2.CoV.2.S.S,0.075522424,3.3024979
a.IgG2.CoV.2.S.S1,0.046293828,2.871310822
a.IgG2.CoV.2.S.RBD,0.014881359,0.681293558
a.IgG2.CoV.2.S.S2,0.013243493,0.948264024
a.IgG2.CoV.2.N.N,0.029002677,1.795046858
a.IgG2.CoV.2.FP.FP,0.042326523,1.310171425
a.IgG2.non.CoV.2.S.WIV1,0.021757737,1.693127612
a.IgG2.non.CoV.2.S.SARS.CoV.1,-0.011739197,0.251535745
a.IgG2.non.CoV.2.S.MERS.S,0.007430496,0.494184069
a.IgG2.non.CoV.2.S.MERS.S1,0.000796113,0.062534444
a.IgG2.non.CoV.2.S.OC43.S,0.017292062,0.395258064
a.IgG2.non.CoV.2.S.OC43.S.1,0.01639609,0.33042543
a.IgG2.non.CoV.2.S.HKU1.S,0.01636551,0.544557644
a.IgG2.non.CoV.2.S.HKU1.S1,0.004740303,0.446053327
a.IgG2.non.CoV.2.S.229E.S,0.007705841,0.125663457
a.IgG2.non.CoV.2.S.229E.S1,-0.002950485,0.082764986
a.IgG2.non.CoV.2.S.NL63,-0.011509552,1.169406097
a.IgG2.non.CoV.2.HA.HA,-0.008204352,0.812837334
a.IgG2.non.CoV.2.gE.gE,0.007687381,0.41127249
a.IgG3.CoV.2.S.S,0.197195298,8.276008986
a.IgG3.CoV.2.S.S1,0.124774865,6.175783292
a.IgG3.CoV.2.S.RBD,0.089939583,5.288996284
a.IgG3.CoV.2.S.S2,0.151390927,7.257186798
a.IgG3.CoV.2.N.N,0.158440456,9.133442542
a.IgG3.CoV.2.FP.FP,0.115502129,2.639304592
a.IgG3.non.CoV.2.S.WIV1,0.165058732,7.234477177
a.IgG3.non.CoV.2.S.SARS.CoV.1,0.037261247,1.701317748
a.IgG3.non.CoV.2.S.MERS.S,0.020841106,0.814705364
a.IgG3.non.CoV.2.S.MERS.S1,0.010071729,1.596205103
a.IgG3.non.CoV.2.S.OC43.S,0.036933358,0.967982178
a.IgG3.non.CoV.2.S.OC43.S.1,0.101750654,2.825804312
a.IgG3.non.CoV.2.S.HKU1.S,0.05499208,2.713195018
a.IgG3.non.CoV.2.S.HKU1.S1,0.004257104,0.441497677
a.IgG3.non.CoV.2.S.229E.S,0.003555113,0.072087589
a.IgG3.non.CoV.2.S.229E.S1,-0.001242277,0.059866345
a.IgG3.non.CoV.2.S.NL63,0.009270896,1.430868641
a.IgG3.non.CoV.2.HA.HA,-0.005339037,0.232377044
a.IgG3.non.CoV.2.gE.gE,0.004401533,0.130862096
a.IgG4.CoV.2.S.S,0.001422364,0.155636685
a.IgG4.CoV.2.S.S1,0.011207007,1.96593126
a.IgG4.CoV.2.S.RBD,0.005461653,0.613428982
a.IgG4.CoV.2.S.S2,0.006218764,0.973682929
a.IgG4.CoV.2.N.N,0.010053429,1.476658631
a.IgG4.CoV.2.FP.FP,-0.018287207,0.285896679
a.IgG4.non.CoV.2.S.WIV1,0.004155449,0.432173053
a.IgG4.non.CoV.2.S.SARS.CoV.1,0.005782028,0.116520853
a.IgG4.non.CoV.2.S.MERS.S,0.000478567,0.054516657
a.IgG4.non.CoV.2.S.MERS.S1,0.004630993,0.646372362
a.IgG4.non.CoV.2.S.OC43.S,-0.006746004,0.426505867
a.IgG4.non.CoV.2.S.OC43.S.1,0.010912663,0.211683246
a.IgG4.non.CoV.2.S.HKU1.S,-0.011402929,0.496897765
a.IgG4.non.CoV.2.S.HKU1.S1,-0.003310344,0.319571593
a.IgG4.non.CoV.2.S.229E.S,-0.011825101,0.69850618
a.IgG4.non.CoV.2.S.229E.S1,-0.003642578,0.151043523
a.IgG4.non.CoV.2.S.NL63,-0.000644281,0.053545472
a.IgG4.non.CoV.2.HA.HA,-0.004200415,0.067674502
a.IgG4.non.CoV.2.gE.gE,0.009250407,0.54643749
FcgR2AR.CoV.2.S.S,0.287519532,7.293080385
FcgR2AR.CoV.2.S.S1,0.167932184,3.44860093
FcgR2AR.CoV.2.S.RBD,0.122103557,2.877762581
FcgR2AR.CoV.2.S.S2,0.101168513,2.78895087
FcgR2AR.CoV.2.N.N,0.254200424,9.932636521
FcgR2AR.CoV.2.FP.FP,0.078362234,2.708643821
FcgR2AR.non.CoV.2.S.WIV1,0.216008796,4.695025326
FcgR2AR.non.CoV.2.S.SARS.CoV.1,0.023180321,1.539683951
FcgR2AR.non.CoV.2.S.MERS.S,0.02298298,0.754174351
FcgR2AR.non.CoV.2.S.MERS.S1,0.005932859,0.668322604
FcgR2AR.non.CoV.2.S.OC43.S,0.052471453,0.901628429
FcgR2AR.non.CoV.2.S.OC43.S.1,0.133906114,6.076493476
FcgR2AR.non.CoV.2.S.HKU1.S,0.009406129,0.139987717
FcgR2AR.non.CoV.2.S.HKU1.S1,-0.005654468,0.081757738
FcgR2AR.non.CoV.2.S.229E.S,-0.005663086,0.070120923
FcgR2AR.non.CoV.2.S.229E.S1,-0.016859607,0.247023906
FcgR2AR.non.CoV.2.S.NL63,-0.00424068,0.280944536
FcgR2AR.non.CoV.2.HA.HA,-0.008194317,0.203642664
FcgR2AR.non.CoV.2.gE.gE,0.096377128,1.237122092
FcgR2B.CoV.2.S.S,0.255659845,5.033137727
FcgR2B.CoV.2.S.S1,0.131580718,2.460941387
FcgR2B.CoV.2.S.RBD,0.091488311,2.298656224
FcgR2B.CoV.2.S.S2,0.054135526,1.619733549
FcgR2B.CoV.2.N.N,0.266033443,8.896457623
FcgR2B.CoV.2.FP.FP,0.085278822,3.791834248
FcgR2B.non.CoV.2.S.WIV1,0.151421334,2.795743191
FcgR2B.non.CoV.2.S.SARS.CoV.1,0.006402837,0.33960609
FcgR2B.non.CoV.2.S.MERS.S,0.015919672,0.613489806
FcgR2B.non.CoV.2.S.MERS.S1,0.003023178,0.342242882
FcgR2B.non.CoV.2.S.OC43.S,0.039391088,0.523228027
FcgR2B.non.CoV.2.S.OC43.S.1,0.200946523,6.505514546
FcgR2B.non.CoV.2.S.HKU1.S,0.017039024,0.700180373
FcgR2B.non.CoV.2.S.HKU1.S1,0.013515795,0.326138782
FcgR2B.non.CoV.2.S.229E.S,0.037560429,0.561429192
FcgR2B.non.CoV.2.S.229E.S1,-0.004582855,0.173230527
FcgR2B.non.CoV.2.S.NL63,-0.000215644,0.016857584
FcgR2B.non.CoV.2.HA.HA,0.003078668,0.24234778
FcgR2B.non.CoV.2.gE.gE,0.100887576,1.847992869
FcgR3AV.CoV.2.S.S,0.29923588,8.02914983
FcgR3AV.CoV.2.S.S1,0.187181751,3.865120887
FcgR3AV.CoV.2.S.RBD,0.130636743,3.224558042
FcgR3AV.CoV.2.S.S2,0.107111006,2.90464623
FcgR3AV.CoV.2.N.N,0.275728281,9.565882289
FcgR3AV.CoV.2.FP.FP,0.111274744,4.314833542
FcgR3AV.non.CoV.2.S.WIV1,0.218027973,5.026781015
FcgR3AV.non.CoV.2.S.SARS.CoV.1,0.014868083,1.019049187
FcgR3AV.non.CoV.2.S.MERS.S,0.022674092,0.636675585
FcgR3AV.non.CoV.2.S.MERS.S1,0.004908882,0.470264161
FcgR3AV.non.CoV.2.S.OC43.S,0.030262807,0.628256153
FcgR3AV.non.CoV.2.S.OC43.S.1,0.144109641,5.76825026
FcgR3AV.non.CoV.2.S.HKU1.S,0.017990773,0.279164551
FcgR3AV.non.CoV.2.S.HKU1.S1,-0.013424638,0.209726634
FcgR3AV.non.CoV.2.S.229E.S,0.005217425,0.065355081
FcgR3AV.non.CoV.2.S.229E.S1,-0.015027347,0.229299345
FcgR3AV.non.CoV.2.S.NL63,-0.01074703,0.454840263
FcgR3AV.non.CoV.2.HA.HA,-0.013108055,0.30188992
FcgR3AV.non.CoV.2.gE.gE,0.07968728,0.915764226
FcgR3BNA2.CoV.2.S.S,0.210199335,3.385654129
FcgR3BNA2.CoV.2.S.S1,0.102199852,1.998905907
FcgR3BNA2.CoV.2.S.RBD,0.049930648,1.803839969
FcgR3BNA2.CoV.2.S.S2,0.033208119,1.215824509
FcgR3BNA2.CoV.2.N.N,0.230070881,5.760423313
FcgR3BNA2.CoV.2.FP.FP,0.069266566,2.387267682
FcgR3BNA2.non.CoV.2.S.WIV1,0.10533688,1.628474173
FcgR3BNA2.non.CoV.2.S.SARS.CoV.1,0.001930593,0.168571676
FcgR3BNA2.non.CoV.2.S.MERS.S,0.011701957,0.39671692
FcgR3BNA2.non.CoV.2.S.MERS.S1,-1.18074E-05,0.00127703
FcgR3BNA2.non.CoV.2.S.OC43.S,0.042855176,0.793509526
FcgR3BNA2.non.CoV.2.S.OC43.S.1,0.22787017,5.800466212
FcgR3BNA2.non.CoV.2.S.HKU1.S,0.006275757,0.230425705
FcgR3BNA2.non.CoV.2.S.HKU1.S1,0.007879521,0.682951633
FcgR3BNA2.non.CoV.2.S.229E.S,-0.009838746,0.846612907
FcgR3BNA2.non.CoV.2.S.229E.S1,-0.007103733,0.547688207
FcgR3BNA2.non.CoV.2.S.NL63,0.00224889,0.271815434
FcgR3BNA2.non.CoV.2.HA.HA,0.000832973,0.066257386
FcgR3BNA2.non.CoV.2.gE.gE,0.104371283,1.691294618
FcaR.CoV.2.S.S,0.23213025,10.97830907
FcaR.CoV.2.S.S1,0.215413291,8.399307835
FcaR.CoV.2.S.RBD,0.156952143,6.838342761
FcaR.CoV.2.S.S2,0.180969949,5.60821787
FcaR.CoV.2.N.N,0.087850144,3.411900234
FcaR.CoV.2.FP.FP,0.035582409,1.553426825
FcaR.non.CoV.2.S.WIV1,0.20020785,6.738092051
FcaR.non.CoV.2.S.SARS.CoV.1,0.04778662,1.733216279
FcaR.non.CoV.2.S.MERS.S,0.042061539,1.091225679
FcaR.non.CoV.2.S.MERS.S1,0.024177779,1.841206178
FcaR.non.CoV.2.S.OC43.S,0.030656676,0.664411733
FcaR.non.CoV.2.S.OC43.S.1,0.066375121,2.913616976
FcaR.non.CoV.2.S.HKU1.S,0.012296873,0.176426286
FcaR.non.CoV.2.S.HKU1.S1,0.006278717,0.085947675
FcaR.non.CoV.2.S.229E.S,-0.001164773,0.023773224
FcaR.non.CoV.2.S.229E.S1,0.03901246,0.697385125
FcaR.non.CoV.2.S.NL63,0.027618344,0.556279114
FcaR.non.CoV.2.HA.HA,-0.002395775,0.024288642
FcaR.non.CoV.2.gE.gE,0.002419667,0.023641095
Func.ADCP,1.106544852,6.104583092
Func.ADNP,0.998730439,4.872987018
Func.ADCC,0.744123453,2.513880695
Func.Complement.CoV-2 RBD,1.033282665,3.281454532
Func.Neut,1.223236273,2.986324821
