,FC,p value
a.IgM.CoV.2.S.S,-0.052844965,1.176137314
a.IgM.CoV.2.S.S1,-0.067234453,1.096517274
a.IgM.CoV.2.S.RBD,-0.063932761,0.949834778
a.IgM.CoV.2.S.S2,-0.00541624,0.058857423
a.IgM.CoV.2.N.N,0.013482571,0.148866209
a.IgM.CoV.2.FP.FP,0.023838995,0.944165494
a.IgM.non.CoV.2.S.WIV1,-0.062627727,0.723640974
a.IgM.non.CoV.2.S.SARS.CoV.1,0.00146709,0.010423242
a.IgM.non.CoV.2.S.MERS.S,-0.045320745,0.457017398
a.IgM.non.CoV.2.S.MERS.S1,-0.0292142,0.453076803
a.IgM.non.CoV.2.S.OC43.S,-0.019638316,0.21070785
a.IgM.non.CoV.2.S.OC43.S.1,0.001432206,0.010329499
a.IgM.non.CoV.2.S.HKU1.S,-0.030258599,0.318007498
a.IgM.non.CoV.2.S.HKU1.S1,0.005002133,0.09453246
a.IgM.non.CoV.2.S.229E.S,-0.045021228,0.458096323
a.IgM.non.CoV.2.S.229E.S1,-0.043886115,0.368316987
a.IgM.non.CoV.2.S.NL63,-0.005260746,0.134701329
a.IgM.non.CoV.2.HA.HA,0.017247258,0.406126818
a.IgM.non.CoV.2.gE.gE,0.016807309,0.172726835
a.IgG1.CoV.2.S.S,-0.13576909,3.231895756
a.IgG1.CoV.2.S.S1,-0.133845871,0.899864936
a.IgG1.CoV.2.S.RBD,-0.136287717,0.803373547
a.IgG1.CoV.2.S.S2,-0.136042426,1.087340501
a.IgG1.CoV.2.N.N,-0.034881904,0.263986951
a.IgG1.CoV.2.FP.FP,-0.021258065,0.117199473
a.IgG1.non.CoV.2.S.WIV1,-0.15927811,3.394435828
a.IgG1.non.CoV.2.S.SARS.CoV.1,-0.055588837,0.622290024
a.IgG1.non.CoV.2.S.MERS.S,-0.06140791,0.994396369
a.IgG1.non.CoV.2.S.MERS.S1,-0.038257683,0.895364948
a.IgG1.non.CoV.2.S.OC43.S,-8.81E-02,6.31E-01
a.IgG1.non.CoV.2.S.OC43.S.1,-0.080458803,1.280877959
a.IgG1.non.CoV.2.S.HKU1.S,-0.09167894,0.618755227
a.IgG1.non.CoV.2.S.HKU1.S1,-0.038468142,0.2384559
a.IgG1.non.CoV.2.S.229E.S,0.002891705,0.027509444
a.IgG1.non.CoV.2.S.229E.S1,-0.057209372,0.397633017
a.IgG1.non.CoV.2.S.NL63,-0.041930226,0.306236703
a.IgG1.non.CoV.2.HA.HA,-0.037958589,0.251538187
a.IgG1.non.CoV.2.gE.gE,-0.128119971,0.732802666
a.IgG2.CoV.2.S.S,-0.01033764,0.114885316
a.IgG2.CoV.2.S.S1,-0.036249134,0.511171614
a.IgG2.CoV.2.S.RBD,0.002575719,0.048023809
a.IgG2.CoV.2.S.S2,-0.024352011,0.372143027
a.IgG2.CoV.2.N.N,-0.047437821,0.66794137
a.IgG2.CoV.2.FP.FP,0.038115546,0.658615192
a.IgG2.non.CoV.2.S.WIV1,-0.027247771,1.106184982
a.IgG2.non.CoV.2.S.SARS.CoV.1,-0.046714737,0.488937235
a.IgG2.non.CoV.2.S.MERS.S,0.013344704,0.368676197
a.IgG2.non.CoV.2.S.MERS.S1,0.010272385,1.162155211
a.IgG2.non.CoV.2.S.OC43.S,0.02183564,0.408720961
a.IgG2.non.CoV.2.S.OC43.S.1,-0.027237782,0.546958333
a.IgG2.non.CoV.2.S.HKU1.S,0.008473615,0.166696718
a.IgG2.non.CoV.2.S.HKU1.S1,0.005910096,0.252064196
a.IgG2.non.CoV.2.S.229E.S,-0.021551959,0.459994844
a.IgG2.non.CoV.2.S.229E.S1,0.011042583,0.57324601
a.IgG2.non.CoV.2.S.NL63,0.007021127,0.289907741
a.IgG2.non.CoV.2.HA.HA,0.013906726,2.100715508
a.IgG2.non.CoV.2.gE.gE,0.009453394,0.240684569
a.IgG3.CoV.2.S.S,-0.080286245,0.801629323
a.IgG3.CoV.2.S.S1,-0.068020336,1.440879451
a.IgG3.CoV.2.S.RBD,-0.050795294,0.797999981
a.IgG3.CoV.2.S.S2,-0.009803673,0.097850462
a.IgG3.CoV.2.N.N,-0.017924984,0.38658867
a.IgG3.CoV.2.FP.FP,0.090674978,1.445497037
a.IgG3.non.CoV.2.S.WIV1,-0.073657681,0.61446838
a.IgG3.non.CoV.2.S.SARS.CoV.1,0.001126067,0.021468072
a.IgG3.non.CoV.2.S.MERS.S,-0.057465507,0.35456252
a.IgG3.non.CoV.2.S.MERS.S1,-0.016776499,1.006149845
a.IgG3.non.CoV.2.S.OC43.S,0.001908429,0.011150639
a.IgG3.non.CoV.2.S.OC43.S.1,0.070684534,0.475187455
a.IgG3.non.CoV.2.S.HKU1.S,-0.018630061,0.137011197
a.IgG3.non.CoV.2.S.HKU1.S1,-0.009225694,0.364043255
a.IgG3.non.CoV.2.S.229E.S,0.03772352,1.034635186
a.IgG3.non.CoV.2.S.229E.S1,-0.001904455,0.071345975
a.IgG3.non.CoV.2.S.NL63,0.002348175,0.113992772
a.IgG3.non.CoV.2.HA.HA,-0.020701947,0.612014331
a.IgG3.non.CoV.2.gE.gE,0.015109406,0.588982144
a.IgG4.CoV.2.S.S,-0.002397189,0.09797642
a.IgG4.CoV.2.S.S1,-0.00360412,0.238546238
a.IgG4.CoV.2.S.RBD,0.011896832,0.854447604
a.IgG4.CoV.2.S.S2,-0.001660561,0.129552544
a.IgG4.CoV.2.N.N,-0.01800466,0.571279892
a.IgG4.CoV.2.FP.FP,0.005011383,0.047478069
a.IgG4.non.CoV.2.S.WIV1,-0.017448789,0.979063705
a.IgG4.non.CoV.2.S.SARS.CoV.1,-0.050249154,0.274626353
a.IgG4.non.CoV.2.S.MERS.S,0.002880885,0.115025294
a.IgG4.non.CoV.2.S.MERS.S1,-0.001878789,0.093959651
a.IgG4.non.CoV.2.S.OC43.S,-0.000281414,0.006555566
a.IgG4.non.CoV.2.S.OC43.S.1,-0.055860548,0.298584497
a.IgG4.non.CoV.2.S.HKU1.S,0.013922608,1.30852725
a.IgG4.non.CoV.2.S.HKU1.S1,0.003794229,0.313618105
a.IgG4.non.CoV.2.S.229E.S,0.001806182,0.134398962
a.IgG4.non.CoV.2.S.229E.S1,0.009940897,0.606991074
a.IgG4.non.CoV.2.S.NL63,0.015624398,1.304367257
a.IgG4.non.CoV.2.HA.HA,0.023745584,0.575172424
a.IgG4.non.CoV.2.gE.gE,0.013443113,0.811792054
FcgR2AR.CoV.2.S.S,-0.121434497,3.598143962
FcgR2AR.CoV.2.S.S1,-0.17105763,1.919888957
FcgR2AR.CoV.2.S.RBD,-0.145861064,1.109064446
FcgR2AR.CoV.2.S.S2,-0.14266579,1.054457027
FcgR2AR.CoV.2.N.N,-0.020219689,0.400849327
FcgR2AR.CoV.2.FP.FP,0.03320263,0.313395924
FcgR2AR.non.CoV.2.S.WIV1,-0.187888934,2.42513801
FcgR2AR.non.CoV.2.S.SARS.CoV.1,-0.011158123,0.23929532
FcgR2AR.non.CoV.2.S.MERS.S,-0.054102462,0.27681856
FcgR2AR.non.CoV.2.S.MERS.S1,-0.010541439,0.411233593
FcgR2AR.non.CoV.2.S.OC43.S,-0.072656338,1.404252766
FcgR2AR.non.CoV.2.S.OC43.S.1,-0.046646556,2.638089686
FcgR2AR.non.CoV.2.S.HKU1.S,-0.11019988,0.714148601
FcgR2AR.non.CoV.2.S.HKU1.S1,0.029409936,0.501085066
FcgR2AR.non.CoV.2.S.229E.S,0.072407757,0.664341698
FcgR2AR.non.CoV.2.S.229E.S1,0.036596099,1.310827197
FcgR2AR.non.CoV.2.S.NL63,0.000644104,0.03948416
FcgR2AR.non.CoV.2.HA.HA,0.010106349,0.489249377
FcgR2AR.non.CoV.2.gE.gE,-0.039533877,0.157566559
FcgR2B.CoV.2.S.S,-0.183200431,4.720360182
FcgR2B.CoV.2.S.S1,-0.164716669,0.886072772
FcgR2B.CoV.2.S.RBD,-0.118960371,0.78581758
FcgR2B.CoV.2.S.S2,-0.122473086,0.673061228
FcgR2B.CoV.2.N.N,-0.021178806,0.222070466
FcgR2B.CoV.2.FP.FP,0.028337706,0.273686394
FcgR2B.non.CoV.2.S.WIV1,-0.233819396,1.344088881
FcgR2B.non.CoV.2.S.SARS.CoV.1,-0.009116167,0.202019167
FcgR2B.non.CoV.2.S.MERS.S,-0.039674554,0.272955647
FcgR2B.non.CoV.2.S.MERS.S1,-0.001455392,0.137747382
FcgR2B.non.CoV.2.S.OC43.S,-0.116607646,1.121441318
FcgR2B.non.CoV.2.S.OC43.S.1,-0.090808784,2.884486889
FcgR2B.non.CoV.2.S.HKU1.S,-0.065587591,0.555488559
FcgR2B.non.CoV.2.S.HKU1.S1,0.021024991,0.416525622
FcgR2B.non.CoV.2.S.229E.S,0.008827848,0.037670517
FcgR2B.non.CoV.2.S.229E.S1,0.006685798,1.008617895
FcgR2B.non.CoV.2.S.NL63,0.003392765,0.175444765
FcgR2B.non.CoV.2.HA.HA,0.003002287,0.244094069
FcgR2B.non.CoV.2.gE.gE,-0.056029831,0.257509477
FcgR3AV.CoV.2.S.S,-0.115009614,3.714631351
FcgR3AV.CoV.2.S.S1,-0.167365383,2.185989412
FcgR3AV.CoV.2.S.RBD,-0.141206138,1.339519671
FcgR3AV.CoV.2.S.S2,-0.156429878,1.237963902
FcgR3AV.CoV.2.N.N,-0.017537926,0.225363871
FcgR3AV.CoV.2.FP.FP,0.029861794,0.244196489
FcgR3AV.non.CoV.2.S.WIV1,-0.181067105,2.325203843
FcgR3AV.non.CoV.2.S.SARS.CoV.1,0.015722719,0.583575455
FcgR3AV.non.CoV.2.S.MERS.S,-0.082544123,0.401867231
FcgR3AV.non.CoV.2.S.MERS.S1,-0.016052645,2.102933877
FcgR3AV.non.CoV.2.S.OC43.S,-0.057256519,1.356100555
FcgR3AV.non.CoV.2.S.OC43.S.1,-0.052737154,2.719250402
FcgR3AV.non.CoV.2.S.HKU1.S,-0.098981298,0.806722317
FcgR3AV.non.CoV.2.S.HKU1.S1,0.025012317,0.342876713
FcgR3AV.non.CoV.2.S.229E.S,-0.00539348,0.02750394
FcgR3AV.non.CoV.2.S.229E.S1,0.013268156,0.374077074
FcgR3AV.non.CoV.2.S.NL63,0.001613826,0.052863967
FcgR3AV.non.CoV.2.HA.HA,-0.007552415,0.188771297
FcgR3AV.non.CoV.2.gE.gE,-0.045970567,0.190830979
FcgR3BNA2.CoV.2.S.S,-0.230920336,4.982789991
FcgR3BNA2.CoV.2.S.S1,-0.146653681,0.720416385
FcgR3BNA2.CoV.2.S.RBD,-0.091237676,0.71008555
FcgR3BNA2.CoV.2.S.S2,-0.079985686,0.493246271
FcgR3BNA2.CoV.2.N.N,-0.030655027,0.189584378
FcgR3BNA2.CoV.2.FP.FP,0.007665989,0.053081327
FcgR3BNA2.non.CoV.2.S.WIV1,-0.232060794,0.882215726
FcgR3BNA2.non.CoV.2.S.SARS.CoV.1,-0.002612007,0.148170624
FcgR3BNA2.non.CoV.2.S.MERS.S,-0.064770903,0.423386297
FcgR3BNA2.non.CoV.2.S.MERS.S1,-4.56E-03,0.29576329
FcgR3BNA2.non.CoV.2.S.OC43.S,-0.097709623,0.734238764
FcgR3BNA2.non.CoV.2.S.OC43.S.1,-0.118394927,2.903176337
FcgR3BNA2.non.CoV.2.S.HKU1.S,-0.047220315,0.386752887
FcgR3BNA2.non.CoV.2.S.HKU1.S1,0.005871679,0.343456533
FcgR3BNA2.non.CoV.2.S.229E.S,-0.014902077,1.577488043
FcgR3BNA2.non.CoV.2.S.229E.S1,0.000255625,0.013816579
FcgR3BNA2.non.CoV.2.S.NL63,-0.012679391,1.740633174
FcgR3BNA2.non.CoV.2.HA.HA,-0.004549022,0.319079699
FcgR3BNA2.non.CoV.2.gE.gE,-0.044209293,0.166349583
FcaR.CoV.2.S.S,-0.043224158,1.382995574
FcaR.CoV.2.S.S1,-0.021074288,0.337510915
FcaR.CoV.2.S.RBD,0.02084882,0.256420443
FcaR.CoV.2.S.S2,-0.135531887,0.957498127
FcaR.CoV.2.N.N,-0.05473732,0.499096387
FcaR.CoV.2.FP.FP,-0.047634345,0.39437371
FcaR.non.CoV.2.S.WIV1,-0.099913731,1.433132461
FcaR.non.CoV.2.S.SARS.CoV.1,-0.010196143,0.064054528
FcaR.non.CoV.2.S.MERS.S,-0.108884799,0.408582348
FcaR.non.CoV.2.S.MERS.S1,-0.004953111,0.196392938
FcaR.non.CoV.2.S.OC43.S,-0.032802703,0.477451355
FcaR.non.CoV.2.S.OC43.S.1,-0.051509343,0.700409802
FcaR.non.CoV.2.S.HKU1.S,-0.081952263,0.574244224
FcaR.non.CoV.2.S.HKU1.S1,-0.014927037,0.090811198
FcaR.non.CoV.2.S.229E.S,-0.011259071,0.128553509
FcaR.non.CoV.2.S.229E.S1,0.028849728,0.18536333
FcaR.non.CoV.2.S.NL63,-0.021137316,0.146993938
FcaR.non.CoV.2.HA.HA,0.029848531,0.303540942
FcaR.non.CoV.2.gE.gE,0.031467375,0.581533453
Func.ADCP,-0.224459335,0.774876449
Func.ADNP,-0.310805531,3.432827922
Func.ADCC,-0.446958839,1.074425289
Func.Complement.CoV-2 RBD,-0.293644268,0.59116534
Func.Neut,-0.623571316,1.464686476
