,FC,p value
FcgR3BNA2.CoV.2.S.RBD,0.006834922,0.546571865
FcgR3BNA2.CoV.2.S.S2,-0.05634587,0.402530769
FcgR3BNA2.CoV.2.N.N,0.038931787,0.409686938
FcgR3BNA2.CoV.2.FP.FP,-0.00016252,0.001358715
FcgR3BNA2.non.CoV.2.S.WIV1,-0.158597074,0.480821607
FcgR3BNA2.non.CoV.2.S.SARS.CoV.1,-0.000904026,0.06313802
FcgR3BNA2.non.CoV.2.S.MERS.S,-0.025496794,0.339479875
FcgR3BNA2.non.CoV.2.S.MERS.S1,-2.26E-03,0.192747923
FcgR3BNA2.non.CoV.2.S.OC43.S,-0.071189462,0.493177968
FcgR3BNA2.non.CoV.2.S.OC43.S.1,-0.151908279,0.841503753
FcgR3BNA2.non.CoV.2.S.HKU1.S,-0.020400284,0.645962981
FcgR3BNA2.non.CoV.2.S.HKU1.S1,0.003828935,0.239820454
FcgR3BNA2.non.CoV.2.S.229E.S,0.000894637,0.067395388
FcgR3BNA2.non.CoV.2.S.229E.S1,-0.00771065,0.684715084
FcgR3BNA2.non.CoV.2.S.NL63,0.001129368,0.120343257
FcgR3BNA2.non.CoV.2.HA.HA,0.005352467,0.25747958
FcgR3BNA2.non.CoV.2.gE.gE,0.033882248,0.385495302
FcaR.CoV.2.S.S,0.009849572,0.10056928
FcaR.CoV.2.S.S1,0.070572977,0.782104253
FcaR.CoV.2.S.RBD,0.082479965,1.561845008
FcaR.CoV.2.S.S2,-0.02459153,0.154416753
FcaR.CoV.2.N.N,0.037976749,0.418766858
FcaR.CoV.2.FP.FP,-0.018110354,0.16593661
FcaR.non.CoV.2.S.WIV1,-0.017791348,0.167680807
FcaR.non.CoV.2.S.SARS.CoV.1,0.04791239,0.716298173
FcaR.non.CoV.2.S.MERS.S,-0.034483629,0.85183894
FcaR.non.CoV.2.S.MERS.S1,0.027866511,0.463821953
FcaR.non.CoV.2.S.OC43.S,0.004826378,0.048122584
FcaR.non.CoV.2.S.OC43.S.1,0.003651987,0.049771973
FcaR.non.CoV.2.S.HKU1.S,-0.010382716,0.093766337
FcaR.non.CoV.2.S.HKU1.S1,-0.01559694,0.09673866
FcaR.non.CoV.2.S.229E.S,0.029445257,0.378053215
FcaR.non.CoV.2.S.229E.S1,0.0715357,0.560570672
FcaR.non.CoV.2.S.NL63,-0.006291897,0.042024957
FcaR.non.CoV.2.HA.HA,0.001460588,0.018241475
FcaR.non.CoV.2.gE.gE,0.010553217,0.086207794
Func.ADCP,-0.079095261,0.269168948
Func.ADNP,-0.004040926,0.054877997
Func.ADCC,-0.025396208,0.583154012
Func.Complement.CoV-2 RBD,-0.436321044,0.88906267
Func.Neut,0.166461275,1.2119246
